-0.5440	-0.0462	0.2520	0.4716	0.6609	0.8385	1.0112	1.1817	1.3510	1.5209	1.6941	1.8744	2.0665	2.2752	2.5053	2.7609	3.0446	3.3574	3.6979	4.0625	4.4450	4.8370	5.2283	5.6071	5.9608	6.2763	6.5409	6.7433	6.8738	6.9259	6.8960	6.7841	6.5938	6.3325	6.0110	5.6430	5.2445	4.8322	4.4228	4.0317	3.6721	3.3539	3.0836	2.8637	2.6932	2.5679	2.4815	2.4267	2.3960	2.3824	2.3794	2.3819	2.3849	2.3839	2.3741	2.3497	2.3037	2.2282	2.1145	1.9548	1.7424	1.4741	1.1504	0.7766	0.3632	-0.0748	-0.5179	-0.9443	-1.3316	-1.6581	-1.9056	-2.0600	-2.1130	-2.0624	-1.9122	-1.6728	-1.3597	-0.9925	-0.5934	-0.1855	0.2087	0.5691	0.8788	1.1258	1.3031	1.4091	1.4474	1.4254	1.3538	1.2445	1.1103	0.9629	0.8128	0.6682	0.5348	0.4157	0.3110	0.2174	0.1258	0.0145	-0.1675	-0.5440	
-1.0000	-0.2682	0.0997	0.3261	0.4997	0.6559	0.8085	0.9631	1.1226	1.2892	1.4658	1.6559	1.8637	2.0935	2.3493	2.6344	2.9507	3.2984	3.6755	4.0776	4.4979	4.9274	5.3551	5.7684	6.1538	6.4976	6.7867	7.0094	7.1563	7.2211	7.2008	7.0963	6.9122	6.6569	6.3420	5.9818	5.5925	5.1908	4.7932	4.4144	4.0669	3.7596	3.4978	3.2831	3.1135	2.9840	2.8879	2.8177	2.7655	2.7247	2.6893	2.6549	2.6174	2.5735	2.5194	2.4503	2.3604	2.2427	2.0893	1.8929	1.6474	1.3492	0.9990	0.6015	0.1669	-0.2902	-0.7509	-1.1938	-1.5965	-1.9374	-2.1977	-2.3628	-2.4234	-2.3766	-2.2258	-1.9808	-1.6567	-1.2733	-0.8533	-0.4208	0.0008	0.3897	0.7278	1.0016	1.2032	1.3298	1.3845	1.3745	1.3105	1.2051	1.0716	0.9231	0.7708	0.6241	0.4893	0.3699	0.2655	0.1705	0.0690	-0.0767	-0.3581	-1.0000	
-0.5366	-0.1336	0.0766	0.2155	0.3325	0.4477	0.5696	0.7019	0.8470	1.0071	1.1845	1.3826	1.6047	1.8546	2.1353	2.4492	2.7975	3.1795	3.5924	4.0311	4.4882	4.9538	5.4160	5.8617	6.2764	6.6459	6.9569	7.1976	7.3591	7.4355	7.4248	7.3289	7.1536	6.9083	6.6054	6.2595	5.8868	5.5038	5.1262	4.7676	4.4393	4.1490	3.9006	3.6945	3.5276	3.3944	3.2877	3.1998	3.1231	3.0514	2.9796	2.9040	2.8219	2.7313	2.6295	2.5133	2.3780	2.2177	2.0258	1.7953	1.5208	1.1988	0.8294	0.4172	-0.0287	-0.4944	-0.9621	-1.4112	-1.8200	-2.1672	-2.4340	-2.6055	-2.6718	-2.6292	-2.4803	-2.2342	-1.9056	-1.5140	-1.0821	-0.6344	-0.1953	0.2128	0.5706	0.8638	1.0833	1.2258	1.2936	1.2937	1.2367	1.1357	1.0045	0.8569	0.7052	0.5594	0.4270	0.3123	0.2165	0.1363	0.0621	-0.0283	-0.1868	-0.5366	
0.4202	0.1902	0.1185	0.1174	0.1537	0.2157	0.2996	0.4047	0.5316	0.6819	0.8577	1.0615	1.2963	1.5646	1.8689	2.2106	2.5899	3.0052	3.4529	3.9272	4.4197	4.9197	5.4146	5.8902	6.3316	6.7241	7.0541	7.3101	7.4837	7.5701	7.5683	7.4815	7.3165	7.0839	6.7967	6.4699	6.1193	5.7609	5.4091	5.0764	4.7725	4.5034	4.2716	4.0762	3.9132	3.7764	3.6583	3.5512	3.4482	3.3435	3.2331	3.1145	2.9862	2.8477	2.6977	2.5346	2.3551	2.1545	1.9274	1.6678	1.3705	1.0321	0.6526	0.2355	-0.2109	-0.6740	-1.1375	-1.5821	-1.9871	-2.3321	-2.5987	-2.7719	-2.8415	-2.8032	-2.6588	-2.4165	-2.0903	-1.6991	-1.2654	-0.8135	-0.3679	0.0484	0.4157	0.7191	0.9488	1.1010	1.1774	1.1848	1.1337	1.0371	0.9094	0.7648	0.6161	0.4743	0.3477	0.2419	0.1603	0.1049	0.0790	0.0930	0.1779	0.4202	
0.9906	0.3560	0.0902	-0.0188	-0.0528	-0.0423	0.0021	0.0773	0.1832	0.3210	0.4924	0.6995	0.9445	1.2294	1.5554	1.9233	2.3321	2.7795	3.2609	3.7695	4.2959	4.8287	5.3542	5.8574	6.3227	6.7351	7.0811	7.3495	7.5327	7.6270	7.6327	7.5543	7.4001	7.1814	6.9119	6.6067	6.2813	5.9506	5.6280	5.3243	5.0473	4.8015	4.5878	4.4040	4.2452	4.1046	3.9746	3.8479	3.7181	3.5802	3.4314	3.2703	3.0970	2.9122	2.7165	2.5095	2.2895	2.0534	1.7968	1.5147	1.2022	0.8563	0.4762	0.0648	-0.3710	-0.8203	-1.2683	-1.6976	-2.0889	-2.4232	-2.6827	-2.8528	-2.9232	-2.8891	-2.7516	-2.5180	-2.2012	-1.8195	-1.3944	-0.9497	-0.5097	-0.0970	0.2687	0.5721	0.8033	0.9582	1.0381	1.0494	1.0024	0.9100	0.7868	0.6469	0.5038	0.3688	0.2506	0.1558	0.0890	0.0553	0.0655	0.1494	0.3873	0.9906	
0.6503	0.1576	-0.0875	-0.2213	-0.2946	-0.3250	-0.3178	-0.2734	-0.1908	-0.0683	0.0958	0.3034	0.5560	0.8548	1.2003	1.5923	2.0289	2.5067	3.0202	3.5615	4.1204	4.6840	5.2379	5.7662	6.2527	6.6821	7.0410	7.3189	7.5090	7.6089	7.6202	7.5489	7.4046	7.1994	6.9477	6.6644	6.3646	6.0622	5.7691	5.4944	5.2443	5.0216	4.8255	4.6528	4.4976	4.3529	4.2112	4.0654	3.9098	3.7404	3.5556	3.3551	3.1406	2.9140	2.6776	2.4323	2.1782	1.9134	1.6348	1.3381	1.0193	0.6751	0.3044	-0.0909	-0.5054	-0.9300	-1.3519	-1.7556	-2.1240	-2.4393	-2.6850	-2.8472	-2.9158	-2.8856	-2.7571	-2.5366	-2.2362	-1.8726	-1.4665	-1.0405	-0.6179	-0.2208	0.1317	0.4248	0.6486	0.7989	0.8767	0.8883	0.8435	0.7550	0.6371	0.5039	0.3688	0.2430	0.1356	0.0525	-0.0021	-0.0252	-0.0107	0.0588	0.2338	0.6503	
-0.2879	-0.2792	-0.3623	-0.4658	-0.5577	-0.6224	-0.6512	-0.6390	-0.5821	-0.4777	-0.3240	-0.1192	0.1377	0.4474	0.8096	1.2231	1.6851	2.1913	2.7350	3.3072	3.8964	4.4889	5.0689	5.6197	6.1248	6.5684	6.9374	7.2220	7.4164	7.5194	7.5342	7.4681	7.3317	7.1383	6.9024	6.6391	6.3628	6.0862	5.8200	5.5717	5.3458	5.1434	4.9627	4.7992	4.6465	4.4973	4.3442	4.1808	4.0020	3.8048	3.5884	3.3541	3.1045	2.8430	2.5732	2.2975	2.0174	1.7323	1.4402	1.1379	0.8218	0.4887	0.1369	-0.2326	-0.6160	-1.0061	-1.3923	-1.7613	-2.0981	-2.3869	-2.6126	-2.7623	-2.8263	-2.7993	-2.6815	-2.4782	-2.2001	-1.8627	-1.4850	-1.0884	-0.6946	-0.3244	0.0042	0.2770	0.4847	0.6233	0.6938	0.7021	0.6576	0.5727	0.4610	0.3363	0.2116	0.0979	0.0035	-0.0662	-0.1094	-0.1283	-0.1300	-0.1295	-0.1586	-0.2879	
-0.9614	-0.6108	-0.5950	-0.6934	-0.8146	-0.9185	-0.9867	-1.0093	-0.9810	-0.8980	-0.7581	-0.5596	-0.3019	0.0151	0.3906	0.8224	1.3070	1.8389	2.4103	3.0110	3.6283	4.2471	4.8508	5.4216	5.9425	6.3978	6.7744	7.0633	7.2597	7.3636	7.3796	7.3162	7.1852	7.0004	6.7769	6.5295	6.2719	6.0162	5.7716	5.5444	5.3375	5.1508	4.9814	4.8241	4.6720	4.5179	4.3544	4.1757	3.9775	3.7575	3.5159	3.2550	2.9784	2.6907	2.3966	2.0999	1.8031	1.5070	1.2107	0.9118	0.6073	0.2939	-0.0304	-0.3657	-0.7096	-1.0570	-1.3993	-1.7259	-2.0238	-2.2795	-2.4796	-2.6124	-2.6691	-2.6445	-2.5382	-2.3550	-2.1041	-1.7996	-1.4586	-1.1006	-0.7454	-0.4121	-0.1171	0.1265	0.3105	0.4310	0.4895	0.4913	0.4457	0.3641	0.2596	0.1453	0.0335	-0.0654	-0.1435	-0.1965	-0.2242	-0.2326	-0.2383	-0.2798	-0.4478	-0.9614	
-0.7510	-0.5898	-0.6845	-0.8603	-1.0431	-1.1994	-1.3127	-1.3739	-1.3771	-1.3187	-1.1960	-1.0077	-0.7531	-0.4327	-0.0478	0.3987	0.9024	1.4566	2.0525	2.6787	3.3211	3.9634	4.5879	5.1761	5.7104	6.1749	6.5570	6.8483	7.0448	7.1478	7.1629	7.0997	6.9709	6.7909	6.5748	6.3375	6.0923	5.8502	5.6197	5.4060	5.2110	5.0336	4.8703	4.7152	4.5614	4.4017	4.2291	4.0381	3.8250	3.5884	3.3291	3.0501	2.7559	2.4518	2.1435	1.8358	1.5322	1.2347	0.9432	0.6563	0.3713	0.0851	-0.2046	-0.4989	-0.7969	-1.0952	-1.3875	-1.6655	-1.9187	-2.1358	-2.3054	-2.4174	-2.4639	-2.4401	-2.3456	-2.1842	-1.9640	-1.6973	-1.3993	-1.0871	-0.7785	-0.4902	-0.2367	-0.0295	0.1242	0.2216	0.2641	0.2570	0.2089	0.1307	0.0344	-0.0678	-0.1643	-0.2453	-0.3037	-0.3354	-0.3399	-0.3225	-0.2969	-0.2947	-0.3884	-0.7510	
0.1499	-0.2908	-0.6575	-0.9729	-1.2408	-1.4584	-1.6206	-1.7225	-1.7595	-1.7283	-1.6261	-1.4516	-1.2043	-0.8846	-0.4947	-0.0378	0.4806	1.0531	1.6695	2.3173	2.9811	3.6434	4.2856	4.8883	5.4336	5.9054	6.2915	6.5838	6.7794	6.8802	6.8927	6.8274	6.6975	6.5178	6.3036	6.0696	5.8288	5.5918	5.3664	5.1572	4.9655	4.7899	4.6263	4.4688	4.3106	4.1445	3.9640	3.7640	3.5413	3.2948	3.0258	2.7378	2.4356	2.1253	1.8130	1.5043	1.2036	0.9136	0.6353	0.3677	0.1088	-0.1443	-0.3943	-0.6429	-0.8906	-1.1354	-1.3734	-1.5985	-1.8026	-1.9769	-2.1120	-2.1996	-2.2330	-2.2082	-2.1247	-1.9856	-1.7979	-1.5720	-1.3211	-1.0598	-0.8032	-0.5657	-0.3595	-0.1941	-0.0752	-0.0048	0.0189	0.0010	-0.0503	-0.1251	-0.2123	-0.3007	-0.3798	-0.4407	-0.4764	-0.4828	-0.4579	-0.4023	-0.3177	-0.2046	-0.0571	0.1499	
